"method","I","B","C","G","seed","lp","projection","runtime","EI_Z","EI_V","MAE_Z","MAE_V","MAE_p"
"mvn_cdf",100,50,10,8,6,"project_lp",TRUE,0.472380762,23.1712054154212,8.59104044198696,0.579280135385531,10.7388005524837,0.0188031612089467
"mvn_cdf",100,50,10,8,6,"project_lp",FALSE,0.095465917,22.6407604642872,7.21609998014162,0.56601901160718,9.02012497517703,0.0168311742481821
"mvn_cdf",100,50,10,8,7,"",TRUE,0.077724356,22.1670494489957,5.75136231804113,0.554176236224889,7.18920289755141,0.0151213227753496
"mvn_cdf",100,50,10,8,7,"lp",TRUE,0.580346021,23.1767314107905,7.90753718682977,0.579418285269761,9.88442148353722,0.0191338062609915
"mvn_cdf",100,50,10,8,7,"lp",FALSE,0.100287558,22.344903278724,5.75614172085912,0.558622581968099,7.19517715107391,0.0151213227753496
"mvn_cdf",100,50,10,8,7,"project_lp",TRUE,0.257579835,23.3141882147638,7.71855136199734,0.582854705369095,9.64818920249667,0.0194132440725085
"mvn_cdf",100,50,10,8,7,"project_lp",FALSE,0.082701961,22.2888543073259,5.73005216415755,0.557221357683148,7.16256520519694,0.0151213227753496
"mvn_cdf",100,50,10,8,8,"",TRUE,0.074002212,22.2289192980784,7.18069723301044,0.555722982451959,8.97587154126305,0.0161594110743142
"mvn_cdf",100,50,10,8,8,"lp",TRUE,0.871778039,23.1269484024333,8.62668728548293,0.578173710060832,10.7833591068537,0.0184629369526485
"mvn_cdf",100,50,10,8,8,"lp",FALSE,0.096552212,22.0513929414246,7.1477986488529,0.551284823535615,8.93474831106612,0.0161594110743142
"mvn_cdf",100,50,10,8,8,"project_lp",TRUE,0.435240215,23.2041043968484,9.30613914557543,0.580102609921209,11.6326739319693,0.0193769272209963
"mvn_cdf",100,50,10,8,8,"project_lp",FALSE,0.080043439,22.0211422180558,7.16389386633138,0.550528555451396,8.95486733291422,0.0161594110743142
"mvn_cdf",100,50,10,8,9,"",TRUE,0.084400263,21.1603952464748,5.74611990560979,0.529009881161872,7.18264988201224,0.0132282297361373
"mvn_cdf",100,50,10,8,9,"lp",TRUE,0.637749711,21.7607431275464,6.66405955182156,0.544018578188658,8.33007443977695,0.0141571171872425
"mvn_cdf",100,50,10,8,9,"lp",FALSE,0.105179637,21.1283317464118,5.73385700085799,0.528208293660297,7.16732125107248,0.0132282297361373
"mvn_cdf",100,50,10,8,9,"project_lp",TRUE,0.42377682,21.7565338151495,6.47542608474109,0.54391334537874,8.09428260592636,0.0134508593226652
"mvn_cdf",100,50,10,8,9,"project_lp",FALSE,0.090984494,21.1120730020813,5.661913454636,0.527801825052031,7.077391818295,0.0132282297361373
"mvn_cdf",100,50,10,8,10,"",TRUE,4.342565922,24.2775027771975,7.76589552549743,0.606937569429937,9.70736940687179,0.0204802167138037
"mvn_cdf",100,50,10,8,10,"lp",TRUE,27.319122255,25.7754707456269,8.73116613100757,0.644386768640674,10.9139576637595,0.0192640888672734
"mvn_cdf",100,50,10,8,10,"lp",FALSE,4.355845207,24.2969348316833,7.80241961356356,0.607423370792084,9.75302451695445,0.0204802167138037
"mvn_cdf",100,50,10,8,10,"project_lp",TRUE,10.088968769,26.1070398171391,9.29202722710071,0.652675995428478,11.6150340338759,0.02075502546098
"mvn_cdf",100,50,10,8,10,"project_lp",FALSE,4.34496147,24.2259401505772,7.79285499355534,0.605648503764429,9.74106874194418,0.0204802167138037
